setup_msg_id,setup_date_utc,team_a,team_b,predicted_winner,predicted_winner_short,entry1_kind,entry1_odds,entry1_team,entry1_msg_id,entry1_date_utc,entry2_kind,entry2_odds,entry2_team,entry2_msg_id,entry2_date_utc,end_type,end_msg_id,end_date_utc
18128,2025-04-14T14:06:16+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 30TH LUCKNOW,CHENNAI MATCH WINNER - CHENNAI CHENNAI SUPER KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 30TH LUCKNOW VS CHENNAI MATCH WINNER - CHENNAI CHENNAI SUPER KINGS LIKH,CHENNAI CHENNAI SUPER KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,86p,LUCKNOW ENTRY KARO SABHI LOG..,18134,2025-04-14T15:00:31+00:00,,,,,,LOSS_CUT,18141,2025-04-14T16:22:44+00:00
18155,2025-04-15T14:06:17+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 31ST PUNJAB,KOLKATA MATCH WINNER - PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 31ST PUNJAB VS KOLKATA MATCH WINNER - PUNJAB PUNJAB KINGS LIKH,PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,WIN,18175,2025-04-15T17:12:18+00:00
18189,2025-04-16T14:03:27+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 32ND DELHI,RAJASTHAN MATCH WINNER - DELHI DELHI CAPITALS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 32ND DELHI VS RAJASTHAN MATCH WINNER - DELHI DELHI CAPITALS LIKH,DELHI DELHI CAPITALS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,72p,RAJASTHAN ENTRY KARO SABHI LOG.,18192,2025-04-16T14:16:45+00:00,FIRST,,,18194,2025-04-16T14:18:34+00:00,LOSS,18206,2025-04-16T18:24:21+00:00
18216,2025-04-17T14:00:21+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 33RD MUMBAI,HYDERABAD MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 33RD MUMBAI VS HYDERABAD MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH,MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,WIN,18225,2025-04-17T17:55:36+00:00
18244,2025-04-19T10:13:38+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 35TH GUJRAT,DELHI MATCH WINNER - GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 35TH GUJRAT VS DELHI MATCH WINNER - GUJRAT GUJRAT TITANS LIKH,GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,84p,DELHI ENTRY KARNA CHALU KARDO S,18248,2025-04-19T10:19:08+00:00,FIRST,44p,DELHI SECOND ENTRY KARO SABHI L,18250,2025-04-19T11:18:03+00:00,LOSS_CUT,18260,2025-04-19T13:30:32+00:00
18308,2025-04-21T14:27:45+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 39TH GUJRAT,KOLKATA MATCH WINNER - GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 39TH GUJRAT VS KOLKATA MATCH WINNER - GUJRAT GUJRAT TITANS LIKH,GUJRAT GUJRAT TITANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,95p,BOTH ENTRY KARNA CHALU KARDO SA,18311,2025-04-21T14:31:02+00:00,,,,,,LOSS_CUT,18319,2025-04-21T16:47:14+00:00
18350,2025-04-23T14:06:43+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 41ST HYDERABAD,MUMBAI MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 41ST HYDERABAD VS MUMBAI MATCH WINNER - MUMBAI MUMBAI INDIANS LIKH,MUMBAI MUMBAI INDIANS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,WIN,18354,2025-04-23T15:44:14+00:00
18372,2025-04-24T14:25:13+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 42ND RAJASTHAN,BANGLORE MATCH WINNER - BANGLORE ROYAL CHALLENGERS BANGLORE LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 42ND RAJASTHAN VS BANGLORE MATCH WINNER - BANGLORE ROYAL CHALLENGERS BANGLORE LIKH,BANGLORE ROYAL CHALLENGERS BANGLORE LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,,,,,,,,,,,WIN,18374,2025-04-24T16:01:21+00:00
18412,2025-04-25T14:18:22+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 43RD CHENNAI,HYDERABAD MATCH WINNER - CHENNAI CHENNAI SUPER KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 43RD CHENNAI VS HYDERABAD MATCH WINNER - CHENNAI CHENNAI SUPER KINGS LIKH,CHENNAI CHENNAI SUPER KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,30p,HYDERABAD SECOND ENTRY KARO SAB,18416,2025-04-25T15:33:43+00:00,,,,,,LOSS_CUT,18421,2025-04-25T16:53:54+00:00
18435,2025-04-26T14:00:41+00:00,INDIAN PREMIER LEAGUE 2025 MATCH - 44TH KOLKATA,PUNJAB MATCH WINNER - PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,INDIAN PREMIER LEAGUE 2025 MATCH - 44TH KOLKATA VS PUNJAB MATCH WINNER - PUNJAB PUNJAB KINGS LIKH,PUNJAB PUNJAB KINGS LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D BHAI,FIRST,95p,KOLKATA ENTRY KARNA CHALU KARDO,18437,2025-04-26T14:11:20+00:00,,,,,,CASHOUT,18440,2025-04-26T15:07:02+00:00
